(!) Your Vite config uses features that are unsupported by `configLoader: 'native'`, which is planned to become the default in a future major version of Vite:
  - `__dirname` (vite.config.ts:12:18). Use `import.meta.dirname` instead
  - import "../../js/common/vite-plugin-isolate" without a file extension (vite.config.ts:5:38). Add the file extension
  - import "../../js/common/vite-plugin-worklet" without a file extension (vite.config.ts:6:31). Add the file extension
  - import "./console-overlay" without a file extension (vite.config.ts:7:32). Add the file extension
  - import "./open-tabs" without a file extension (vite.config.ts:8:26). Add the file extension
Set `VITE_CONFIG_NATIVE_IGNORE_WARNING=true` to suppress this warning.

  VITE v8.2.2  ready in 342 ms

  ➜  Local:   http://localhost:5175/
  ➜  Network: use --host to expose
1:42:03 PM [vite] (client) [console.warn] [audio] SharedArrayBuffer unavailable, falling back to the higher latency postMessage audio buffer. Serve the page cross-origin isolated (Cross-Origin-Opener-Policy: same-origin, Cross-Origin-Embedder-Policy: require-corp) to avoid this.
1:42:03 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517417 -> 28517419
1:42:03 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517419 -> 28517420
1:42:03 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517420 -> 28517421
1:42:03 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517421 -> 28517422
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517433 -> 28517434
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517434 -> 28517435
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517435 -> 28517436
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517440 -> 28517441
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517441 -> 28517442
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517442 -> 28517443
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517447 -> 28517448
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517448 -> 28517449
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517449 -> 28517450
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517454 -> 28517455
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517455 -> 28517456
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517456 -> 28517457
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517461 -> 28517462
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517462 -> 28517463
1:42:04 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517463 -> 28517464
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517468 -> 28517469
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517469 -> 28517470
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517470 -> 28517471
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517475 -> 28517476
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517476 -> 28517477
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517477 -> 28517478
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517482 -> 28517483
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517483 -> 28517484
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517484 -> 28517485
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517489 -> 28517490
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517490 -> 28517491
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517491 -> 28517492
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517496 -> 28517497
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517497 -> 28517498
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517498 -> 28517499
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517503 -> 28517504
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517504 -> 28517505
1:42:05 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517505 -> 28517506
1:42:06 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517511 -> 28517512
1:42:06 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517512 -> 28517513
1:42:06 PM [vite] (client) [console.warn] skipping slow group: track=0.aac 28517519 -> 28517520
